gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,OS_17_D1_1_S12_L001,OS_17_D1_2_S13_L001,OS_17_D1_3_S14_L001,OS_17_D3_1_S18_L001,OS_17_D3_2_S19_L001,OS_17_D3_3_S20_L001
ENSG00000095752,IL11,3589,interleukin 11,17209.63914076905,0.6991759528748148,0.05603937155530558,12.476513091957036,1.0028294332209809e-35,1.1171519886081728e-31,20389,22967,20214,14455,13022,12412
ENSG00000120738,EGR1,1958,early growth response 1,6320.138238011446,-0.4869781636361556,0.06846877380984813,-7.1124125136021,1.140318207921011e-12,6.351572418120031e-9,4941,5633,5129,7536,7862,7003
ENSG00000162892,IL24,11009,interleukin 24,740.7690053538428,1.026659527449935,0.14705723900859635,6.981360009009286,2.923361160293591e-12,1.0855414441890201e-8,918,1066,982,569,551,375
ENSG00000134321,RSAD2,91543,radical S-adenosyl methionine domain containing 2,20929.18798178287,-0.40929692195978135,0.05934568433078335,-6.896827066285491,5.317684973983987e-12,1.4809752652545403e-8,16596,19920,17197,25542,25772,21412
ENSG00000138755,CXCL9,4283,C-X-C motif chemokine ligand 9,26861.03125996471,-0.3119658028575159,0.047112562006722515,-6.621711695768134,3.550630585987496e-11,7.910804945580141e-8,22579,25577,23347,32406,30845,27310
ENSG00000164442,CITED2,10370,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,11742.698620023377,-0.5875972735768609,0.09057618198850925,-6.487326587152957,8.737281245134431e-11,1.6222218845132928e-7,8002,10165,9836,14481,15008,13341
ENSG00000136826,KLF4,9314,KLF transcription factor 4,13242.560521377287,-0.3365729246435821,0.053006812836992184,-6.349616334764725,2.1585258062864002e-10,3.435139640290071e-7,11238,12650,11049,15858,15864,13291
ENSG00000162654,GBP4,115361,guanylate binding protein 4,11953.720671717687,-0.35846302485397086,0.05752879359193166,-6.231019329149375,4.634099194400972e-10,6.452983128203354e-7,10065,11447,9770,14051,14363,12429
ENSG00000078177,N4BP2,55728,NEDD4 binding protein 2,725.882819471476,1.3720458400257618,0.22328238248579424,6.144890719772997,8.00185860459802e-10,9.904522761691328e-7,731,1372,1046,449,492,300
ENSG00000163661,PTX3,5806,pentraxin 3,2425.934636776193,0.5210911112361163,0.08505349112139682,6.126628129730302,8.976092727353543e-10,9.999367298271847e-7,2577,3063,2890,2149,2026,1882
ENSG00000270647,TAF15,8148,TATA-box binding protein associated factor 15,2674.232920958128,0.5255860488550996,0.08723743699641219,6.024776368392338,1.6934360738473433e-9,1.7149888966054005e-6,3121,3248,3034,2332,2145,2173
ENSG00000132128,LRRC41,10489,leucine rich repeat containing 41,3362.3495798334834,0.5718430708362675,0.09635977162395122,5.934458552557736,2.9481679424492695e-9,2.736882573240405e-6,3726,4427,3854,2717,3149,2371
