gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HOS_D2_1_S4_L001,HOS_D2_2_S5_L001,HOS_D2_3_S6_L001,HOS_Media_1_S10_L001,HOS_Media_2_S11_L001
ENSG00000002549,LAP3,51056,leucine aminopeptidase 3,10070.506649733376,4.333943865245414,0.055510834306796084,78.07383764568671,0,0,16258,18526,17554,662,806
ENSG00000005022,SLC25A5,292,solute carrier family 25 member 5,6424.789426482635,-1.7370442170030345,0.041013494394862494,-42.35299241462886,0,0,3372,3793,3538,9936,10215
ENSG00000006327,TNFRSF12A,51330,TNF receptor superfamily member 12A,3645.667816123519,2.126016470662535,0.053461439723651014,39.76728800519,0,0,5422,5984,5566,1064,1134
ENSG00000008517,IL32,9235,interleukin 32,9345.743839509858,5.315484265417353,0.0672903636471766,78.9932462438161,0,0,15141,18104,16165,361,339
ENSG00000008988,RPS20,6224,ribosomal protein S20,23054.134486590003,-1.2745058176464812,0.024963632921755848,-51.05450082691078,0,0,14902,17195,15305,30833,33964
ENSG00000023445,BIRC3,330,baculoviral IAP repeat containing 3,2543.938561118102,4.273829879027116,0.09316534045892312,45.87360340202331,0,0,4084,4729,4396,173,213
ENSG00000025708,TYMP,1890,thymidine phosphorylase,3958.40672891618,4.103422065100299,0.07475744601524623,54.88981076565184,0,0,6625,7154,6663,307,366
ENSG00000026025,VIM,7431,vimentin,78746.95228477602,-1.041685596303146,0.020724148690273267,-50.264337120494304,0,0,55842,65002,57506,100998,106262
ENSG00000034510,TMSB10,9168,thymosin beta 10,22125.162568194824,-1.2359271567403598,0.024529374667645706,-50.385595780007804,0,0,14467,16871,14916,29579,31949
ENSG00000035403,VCL,7414,vinculin,13833.186076787246,-1.7388574866514732,0.029053136005938607,-59.85093954387719,0,0,7285,8253,7493,21288,22125
ENSG00000041982,TNC,3371,tenascin C,28362.118532136472,3.5573412390569197,0.037714494739700205,94.32291917495266,0,0,46778,50562,46661,3218,3706
ENSG00000055332,EIF2AK2,5610,eukaryotic translation initiation factor 2 alpha kinase 2,15824.25710266648,1.8871572008430415,0.028712844350076833,65.72519175857934,0,0,22453,25651,23891,5300,5698
ENSG00000058668,ATP2B4,493,ATPase plasma membrane Ca2+ transporting 4,4166.267732005732,-2.858349235067926,0.051325417075902685,-55.69071617753931,0,0,1230,1344,1258,7714,7987
ENSG00000059378,PARP12,64761,poly(ADP-ribose) polymerase family member 12,3489.7029133917786,2.4784600855000014,0.05720743186984305,43.32409277065493,0,0,5297,5954,5481,841,855
ENSG00000060718,COL11A1,1301,collagen type XI alpha 1 chain,15138.431023302548,-2.0904637616073813,0.03195308135380088,-65.42291613321095,0,0,6664,7580,6929,25154,25757
ENSG00000063046,EIF4B,1975,eukaryotic translation initiation factor 4B,12223.377577057716,-2.1602668326572374,0.04957595679142357,-43.574889371191205,0,0,5459,5536,5459,19821,21849
ENSG00000063660,GPC1,2817,glypican 1,3644.7619848319373,-1.9584705244278533,0.04977600836994434,-39.3456725150025,0,0,1734,1985,1733,5805,6162
ENSG00000065911,MTHFD2,10797,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",12978.509286398705,1.2975353184999536,0.027297542262974317,47.53304550277763,0,0,17207,19779,17853,6072,6531
ENSG00000066735,KIF26A,26153,kinesin family member 26A,1680.9662661666043,-3.1828172555247773,0.0794166824190731,-40.07743912959497,0,0,413,469,398,3196,3368
ENSG00000067066,SP100,6672,SP100 nuclear antigen,14246.406258333152,3.180869197330168,0.03693263498164121,86.12624576912374,0,0,22582,25026,23605,2190,2248
ENSG00000068079,IFI35,3430,interferon induced protein 35,5828.839141108712,5.19752177431384,0.08255163587309813,62.96085739964851,0,0,9582,11083,10089,194,280
ENSG00000070669,ASNS,440,asparagine synthetase (glutamine-hydrolyzing),10012.729351187249,1.9462981704264064,0.04755574585776596,40.92666691103051,0,0,14234,16820,14829,3088,3642
ENSG00000071082,RPL31,6160,ribosomal protein L31,13574.791065682855,-1.1539964969891077,0.02703870071000166,-42.67943601898897,0,0,9197,10648,9519,17685,19230
ENSG00000075618,FSCN1,6624,fascin actin-bundling protein 1,7199.661818754996,-2.418940187400562,0.049875530757418525,-48.499537762628556,0,0,2648,3181,2651,12601,12972
ENSG00000075624,ACTB,60,actin beta,159954.86989822733,-0.6830129204386537,0.016828182538964887,-40.58744423868522,0,0,129175,150439,135483,180475,195966
ENSG00000077150,NFKB2,4791,nuclear factor kappa B subunit 2,5669.654020392985,3.0054219774424253,0.05035992857330512,59.678837174434456,0,0,8968,9953,9178,924,1055
ENSG00000085449,WDFY1,57590,WD repeat and FYVE domain containing 1,9162.55863836415,1.3157567847895433,0.03308754050932893,39.765928942907365,0,0,12131,14099,12599,4256,4553
ENSG00000087074,PPP1R15A,23645,protein phosphatase 1 regulatory subunit 15A,10970.179746298321,3.083894982534373,0.05310544299879953,58.071165748567154,0,0,17165,19636,17819,1879,1754
ENSG00000087245,MMP2,4313,matrix metallopeptidase 2,5013.116676481795,-3.5184633701358665,0.05273695022919787,-66.71723250670392,0,0,991,1069,1053,9875,10288
ENSG00000089157,RPLP0,6175,ribosomal protein lateral stalk subunit P0,83135.32349997484,-1.087871882343723,0.025886949789686652,-42.02394995091815,0,0,56889,67533,60439,108873,112822
ENSG00000090339,ICAM1,3383,intercellular adhesion molecule 1,13200.982336871593,3.8602166572729892,0.05224640842036076,73.88482335885577,0,0,21040,24640,22137,1364,1269
ENSG00000092841,MYL6,4637,myosin light chain 6,17824.890648683086,-1.7647643850917387,0.024280454806939224,-72.68250941441914,0,0,9235,10559,9522,27368,28899
ENSG00000094916,CBX5,23468,chromobox 5,6483.326982188349,-1.6657566543885067,0.038894521528315566,-42.82753943060646,0,0,3582,3939,3648,9790,10235
ENSG00000099194,SCD,6319,stearoyl-CoA desaturase,37535.78518910135,-1.4848901953446079,0.018369776332196237,-80.83333016646908,0,0,22341,25217,22768,53831,57382
ENSG00000100129,EIF3L,51386,eukaryotic translation initiation factor 3 subunit L,12158.558517163247,-1.5963415721539882,0.02757696590458411,-57.8867732468215,0,0,6884,7699,7060,17936,19044
ENSG00000100316,RPL3,6122,ribosomal protein L3,52171.00270790759,-1.179226227264978,0.017056156497600516,-69.1378639396791,0,0,34946,40251,36459,69263,73546
ENSG00000100342,APOL1,8542,apolipoprotein L1,3204.115207903856,4.576896426182693,0.09894145380621029,46.25863326353725,0,0,5265,5869,5595,162,235
ENSG00000100889,PCK2,5106,"phosphoenolpyruvate carboxykinase 2, mitochondrial",10024.997599182896,2.4132003031217444,0.04580056511781271,52.68931282647438,0,0,15056,17051,15734,2323,2759
ENSG00000101255,TRIB3,57761,tribbles pseudokinase 3,5813.929230050589,2.7211184000531623,0.04762676122690615,57.134231468922565,0,0,8841,10234,9290,1139,1292
ENSG00000101335,MYL9,10398,myosin light chain 9,18970.435517067603,-2.1715093756543085,0.027146951318212056,-79.99091132555682,0,0,7948,9310,8205,31021,33770
ENSG00000101347,SAMHD1,25939,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,14734.4945971442,3.811737269712488,0.042898781493457105,88.85420837171917,0,0,24074,26610,24807,1393,1649
ENSG00000101444,AHCY,191,adenosylhomocysteinase,9392.258009564528,-1.4633367296181732,0.03205999537754013,-45.643697461145756,0,0,5587,6464,5726,13442,14239
ENSG00000102144,PGK1,5230,phosphoglycerate kinase 1,13284.717894541032,-1.615754660543724,0.02990322819891545,-54.0327836779283,0,0,7348,8510,7593,19864,20711
ENSG00000102317,RBM3,5935,RNA binding motif protein 3,12879.150525226378,-1.2478782648597762,0.028946393778394978,-43.10997336708547,0,0,8274,9654,8854,17326,18601
ENSG00000104081,BMF,90427,Bcl2 modifying factor,1460.9276865233935,-4.081703155636568,0.0936521237973451,-43.583668902896555,0,0,195,241,203,2954,3154
ENSG00000104312,RIPK2,8767,receptor interacting serine/threonine kinase 2,3133.540078970823,2.3075206468232756,0.06073221319151566,37.99500340201069,0,0,4580,5287,4964,809,884
ENSG00000104408,EIF3E,3646,eukaryotic translation initiation factor 3 subunit E,10598.174845670927,-1.7522395660987737,0.04264795975738352,-41.08612876364885,0,0,5357,6338,5849,15605,17806
ENSG00000104529,EEF1D,1936,eukaryotic translation elongation factor 1 delta,10373.66136997438,-1.5558071447300148,0.03469582110288571,-44.84134098214542,0,0,5889,6649,6275,15330,15914
ENSG00000105193,RPS16,6217,ribosomal protein S16,26208.873553798185,-1.166956593628904,0.022468271303842404,-51.937978576453155,0,0,17917,20164,18276,34890,36592
ENSG00000105281,SLC1A5,6510,solute carrier family 1 member 5,20522.93044370153,1.8089853982666324,0.02809598194646806,64.38591118521272,0,0,28705,33691,30258,7118,7818
ENSG00000105835,NAMPT,10135,nicotinamide phosphoribosyltransferase,10776.6351458883,2.15591355270361,0.0358210608499953,60.185642232421294,0,0,15646,17910,16781,3045,3339
ENSG00000106105,GARS1,2617,glycyl-tRNA synthetase 1,29874.832373728947,1.1033866859107835,0.02758724796688611,39.996257953501384,0,0,38034,43804,40615,15210,17009
ENSG00000106333,PCOLCE,5118,procollagen C-endopeptidase enhancer,11224.063091245867,-1.8916181676552408,0.02950575080839342,-64.11015194763786,0,0,5428,6275,5653,17684,18685
ENSG00000106366,SERPINE1,5054,serpin family E member 1,6687.9780622350645,2.5029440011297095,0.04945744188151874,50.6080360388597,0,0,10021,11906,10245,1576,1626
ENSG00000106948,AKNA,80709,AT-hook transcription factor,4115.467540281817,2.9376750366062376,0.05744498197335455,51.13893216937308,0,0,6464,7172,6684,701,799
ENSG00000107201,RIGI,23586,RNA sensor RIG-I,14242.90851388953,5.556782984060324,0.05564153339258088,99.86753860383821,0,0,23457,27053,24918,458,447
ENSG00000108679,LGALS3BP,3959,galectin 3 binding protein,18254.20045200513,1.673449963765078,0.027676840323139097,60.46390932732295,0,0,25576,29004,26491,7071,7283
ENSG00000108821,COL1A1,1277,collagen type I alpha 1 chain,162846.7841752801,-3.062324591167047,0.014970296767934335,-204.56004571174574,0,0,42393,47152,43526,303262,325040
ENSG00000109084,TMEM97,27346,transmembrane protein 97,2751.470829742736,-2.446941664412996,0.06121123928252582,-39.97536552264402,0,0,994,1131,1062,4859,4953
ENSG00000109472,CPE,1363,carboxypeptidase E,3018.8648653741034,-2.6969970513892307,0.056336650887865485,-47.872867997734396,0,0,969,1072,1003,5449,5704
ENSG00000111057,KRT18,3875,keratin 18,17338.720670463023,-1.0929237225418977,0.024050484175570992,-45.44289896882919,0,0,12156,13738,12545,22132,24214
ENSG00000111335,OAS2,4939,2'-5'-oligoadenylate synthetase 2,10241.947894768953,9.7933126871138,0.24604329200009695,39.80320945758579,0,0,17190,20071,17735,14,21
ENSG00000112715,VEGFA,7422,vascular endothelial growth factor A,9781.90666767055,1.7562797593026866,0.04298725970449959,40.85582033783029,0,0,14090,15776,14003,3411,3934
ENSG00000112972,HMGCS1,3157,3-hydroxy-3-methylglutaryl-CoA synthase 1,6999.358253866262,-2.7073873400462287,0.04303797381829786,-62.90694240106551,0,0,2201,2579,2244,12738,13152
ENSG00000113140,SPARC,6678,secreted protein acidic and cysteine rich,45810.7340650984,-2.9092131531586514,0.03302902262827685,-88.08050985644401,0,0,12394,14769,13806,85081,88622
ENSG00000113739,STC2,8614,stanniocalcin 2,32772.902214078174,2.0600380452142364,0.030155619355030205,68.31357104494705,0,0,48406,53977,49290,10224,10316
ENSG00000114391,RPL24,6152,ribosomal protein L24,16992.20276825288,-1.2792618947160141,0.027107080556200005,-47.192905634517615,0,0,10858,12689,11326,22813,25003
ENSG00000114942,EEF1B2,1933,eukaryotic translation elongation factor 1 beta 2,17093.050809361495,-1.2230593529599227,0.032065303006644875,-38.14276611409126,0,0,11179,12762,11961,23342,23984
ENSG00000115267,IFIH1,64135,interferon induced with helicase C domain 1,10285.203224412544,6.070324421464926,0.07384565404132064,82.20286623865843,0,0,17053,19717,17937,205,255
ENSG00000115268,RPS15,6209,ribosomal protein S15,15421.996658703903,-1.390489307012501,0.03670084148396,-37.887123313513406,0,0,9162,11188,9832,21372,23288
ENSG00000115415,STAT1,6772,signal transducer and activator of transcription 1,36831.48637048544,3.644136019640123,0.024899757773743585,146.35226787156978,0,0,59131,67081,61547,4008,4481
ENSG00000115457,IGFBP2,3485,insulin like growth factor binding protein 2,7660.726024326923,-1.8077085341901016,0.04092323201509561,-44.17316143366391,0,0,3956,4440,3942,12049,12339
ENSG00000115902,SLC1A4,6509,solute carrier family 1 member 4,3888.6898473697474,2.0806281939977866,0.05259422676609392,39.56001108735972,0,0,5589,6585,5879,1159,1251
ENSG00000115963,RND3,390,Rho family GTPase 3,11219.173463904304,2.563623389638458,0.03359906623113745,76.30043561337597,0,0,17059,19204,17861,2504,2670
ENSG00000116044,NFE2L2,4780,NFE2 like bZIP transcription factor 2,8352.826176071392,1.4241153254532586,0.0376053828113134,37.86998612934796,0,0,11178,12838,11913,3721,3840
ENSG00000116133,DHCR24,1718,24-dehydrocholesterol reductase,7289.9271055795025,-2.3551646412097633,0.03651406057833058,-64.50021180628279,0,0,2790,3138,2944,12441,13210
ENSG00000116251,RPL22,6146,ribosomal protein L22,16573.405349309494,-1.6374796003533039,0.03067643539360594,-53.37907026494391,0,0,9196,10255,9487,25084,25769
ENSG00000116260,QSOX1,5768,quiescin sulfhydryl oxidase 1,9062.31190161749,1.5722706903150623,0.035709782422153606,44.029131057927096,0,0,12506,14344,12910,3725,3824
ENSG00000116717,GADD45A,1647,growth arrest and DNA damage inducible alpha,11044.413619520259,3.378469132691689,0.04497826648034863,75.11336912390276,0,0,17586,19792,18338,1537,1488
ENSG00000116761,CTH,1491,cystathionine gamma-lyase,2323.8927006120634,3.2001370178247455,0.07693614095442361,41.5947171007769,0,0,3641,4151,3842,356,359
ENSG00000117228,GBP1,2633,guanylate binding protein 1,46637.76063438246,5.887076514128018,0.038100346956557035,154.51503685361735,0,0,76418,89265,82073,1163,1201
ENSG00000118181,RPS25,6230,ribosomal protein S25,34218.40825277437,-1.7231350311814442,0.028788685111675524,-59.85459302837733,0,0,17757,21208,18502,52219,54828
ENSG00000119917,IFIT3,3437,interferon induced protein with tetratricopeptide repeats 3,39112.80282885498,6.215486791875997,0.13459490225804546,46.1792139791421,0,0,64734,74550,68911,668,921
ENSG00000119922,IFIT2,3433,interferon induced protein with tetratricopeptide repeats 2,24121.794659982355,6.5553001439416745,0.058887515508435295,111.31901367111787,0,0,39674,46333,42668,351,422
ENSG00000121060,TRIM25,7706,tripartite motif containing 25,14358.70373070749,2.287576348434816,0.02916742477938323,78.42915052451843,0,0,21468,24152,22204,3833,4016
ENSG00000121691,CAT,847,catalase,3124.776991870671,-2.5761540088666868,0.056414326966629826,-45.664889530465054,0,0,1101,1200,1070,5464,5900
ENSG00000122406,RPL5,6125,ribosomal protein L5,32019.745546258706,-2.0362463722048703,0.025939488624602984,-78.49986565554494,0,0,14402,16937,14741,51541,55165
ENSG00000123240,OPTN,10133,optineurin,9798.926890060256,1.6487185508390672,0.034760314220742376,47.43106004074135,0,0,13783,15225,14354,3771,4048
ENSG00000123416,TUBA1B,10376,tubulin alpha 1b,29356.239679084272,-1.184058823000834,0.021066817284842,-56.20492203408382,0,0,19519,22450,20724,38774,41708
ENSG00000123689,G0S2,50486,G0/G1 switch 2,2474.260332920303,5.19085665482332,0.11919169428840962,43.550489703275296,0,0,4042,4599,4404,86,116
ENSG00000123933,MXD4,10608,MAX dimerization protein 4,3019.6063689406383,-2.3754271559457405,0.05516464154248203,-43.060683247917694,0,0,1141,1300,1195,5227,5428
ENSG00000124201,ZNFX1,57169,zinc finger NFX1-type containing 1,6450.969877317357,1.9861633432287744,0.047237414485134986,42.04640251540005,0,0,9538,10787,9334,2058,2170
ENSG00000124614,RPS10,6204,ribosomal protein S10,29838.685807619677,-0.873930118419917,0.021189493689892418,-41.243558303461946,0,0,22507,26141,23502,36244,38422
ENSG00000125347,IRF1,3659,interferon regulatory factor 1,7645.411638846105,4.08257549686881,0.06844068697459928,59.65129336565538,0,0,12054,14325,13149,695,620
ENSG00000125691,RPL23,9349,ribosomal protein L23,18935.331328950513,-2.0085155080006154,0.02765700757852684,-72.62230023612699,0,0,8591,9993,9040,29811,33001
ENSG00000125826,RBCK1,10616,RANBP2-type and C3HC4-type zinc finger containing 1,7560.582748455333,1.570649415323145,0.03565447623270859,44.051955919135544,0,0,10375,11852,10931,3049,3258
ENSG00000125868,DSTN,11034,"destrin, actin depolymerizing factor",7801.034017253594,-1.3979328661545174,0.032585503021247235,-42.90045377673014,0,0,4782,5410,5001,10931,11693
ENSG00000126709,IFI6,2537,interferon alpha inducible protein 6,4561.7090622892,5.463863534576308,0.09207541843781003,59.341175172250054,0,0,7614,8751,7776,144,165
