gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,OS_17_D2_1_S15_L001,OS_17_D2_2_S16_L001,OS_17_D2_3_S17_L001,OS_17_Media_1_S21_L001,OS_17_Media_2_S22_L001
ENSG00000002549,LAP3,51056,leucine aminopeptidase 3,11496.194639497702,3.2052733323916245,0.04136358935654788,77.49021258195592,0,0,17526,16707,15931,2510,1878
ENSG00000006210,CX3CL1,6376,C-X3-C motif chemokine ligand 1,4920.781090274805,6.947356067249729,0.1293628763499148,53.70440317404325,0,0,7833,7520,7533,89,61
ENSG00000006451,RALA,5898,RAS like proto-oncogene A,26314.82440477385,3.461896019789437,0.034444331029476985,100.50698957766937,0,0,40939,38711,36489,4935,3579
ENSG00000011422,PLAUR,5329,"plasminogen activator, urokinase receptor",4539.202013522381,2.076577628081419,0.05491803217963495,37.81230946675232,0,0,6303,6014,6013,2031,1481
ENSG00000031698,SARS1,6301,seryl-tRNA synthetase 1,19734.597634608774,1.7303833957206995,0.037844179536081775,45.72389775476306,0,0,27199,24909,24796,11082,7699
ENSG00000041357,PSMA4,5685,proteasome 20S subunit alpha 4,10908.569247001415,1.9979560187234915,0.041924441409609416,47.65611541971658,0,0,15335,14689,13730,5209,3658
ENSG00000041982,TNC,3371,tenascin C,120942.77891560365,1.5310056942129453,0.02148283011567929,71.26648053207559,0,0,158621,153164,147895,74186,54291
ENSG00000044574,HSPA5,3309,heat shock protein family A (Hsp70) member 5,165882.41718740202,2.120136897457822,0.03191695778252213,66.4266598309322,0,0,235425,225038,212578,70572,53989
ENSG00000050405,LIMA1,51474,LIM domain and actin binding 1,15259.156731450568,2.298455165778726,0.034083442112158975,67.43612215618245,0,0,21651,21041,20166,5979,4347
ENSG00000055332,EIF2AK2,5610,eukaryotic translation initiation factor 2 alpha kinase 2,20735.81744022477,2.327744536882929,0.05321053262900585,43.74593566112963,0,0,29075,30178,26386,8059,5744
ENSG00000063660,GPC1,2817,glypican 1,4868.081392750172,-6.140690636988725,0.10793643384961689,-56.89173171632,0,0,201,136,138,15382,11573
ENSG00000065802,ASB1,51665,ankyrin repeat and SOCS box containing 1,6921.00629781024,2.230288450942059,0.051613711419118795,43.211162104415415,0,0,9597,9333,9399,2828,2054
ENSG00000065911,MTHFD2,10797,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",18510.971811860367,2.3414171079441424,0.04234701220749825,55.291199683021674,0,0,27191,25468,23917,6884,5274
ENSG00000067066,SP100,6672,SP100 nuclear antigen,8055.934948907095,3.553904821305313,0.05741414770152607,61.8994614320618,0,0,12226,11853,11567,1353,1088
ENSG00000069431,ABCC9,10060,ATP binding cassette subfamily C member 9,4705.549074892667,3.4784193440234565,0.07795656755330312,44.61996536270114,0,0,7215,7266,6300,847,654
ENSG00000070669,ASNS,440,asparagine synthetase (glutamine-hydrolyzing),6544.008463120329,5.020266320604934,0.07874006674765308,63.75745573970533,0,0,10612,10124,9287,464,287
ENSG00000073008,PVR,5817,PVR cell adhesion molecule,8085.831506404308,2.4401611123455833,0.05231176340788053,46.64650842143058,0,0,11532,11142,10996,2798,2194
ENSG00000073921,PICALM,8301,phosphatidylinositol binding clathrin assembly protein,16900.8655322599,1.6537507878436268,0.041279424406668194,40.06235095604878,0,0,23202,21879,20209,9604,7126
ENSG00000075624,ACTB,60,actin beta,320391.65499438054,0.8581745565276314,0.02237169259752936,38.35984035568255,0,0,382112,358147,355551,281437,206635
ENSG00000082641,NFE2L1,4779,NFE2 like bZIP transcription factor 1,34960.43770920982,1.703209662367363,0.02820374714791635,60.38948134922538,0,0,46519,45152,44041,19411,14252
ENSG00000085117,CD82,3732,CD82 molecule,10460.522085414445,-1.7665866155857533,0.0470293719205308,-37.56347455736582,0,0,5236,4822,4912,23212,17782
ENSG00000087074,PPP1R15A,23645,protein phosphatase 1 regulatory subunit 15A,21163.393976374697,3.4751228316861855,0.06167354053964721,56.347062310330344,0,0,31964,30406,30976,3657,3063
ENSG00000095752,IL11,3589,interleukin 11,13811.361646484109,4.472758604109923,0.060963513979112226,73.3677951314029,0,0,21989,19999,20739,1397,900
ENSG00000099194,SCD,6319,stearoyl-CoA desaturase,29931.5759678684,-1.6685431901902126,0.02522023543860302,-66.15890617881699,0,0,15593,14876,14422,66858,48471
ENSG00000099250,NRP1,8829,neuropilin 1,8248.783243282844,1.8750936852642084,0.04121193214096659,45.49880551220935,0,0,11444,10676,10538,4160,3032
ENSG00000100129,EIF3L,51386,eukaryotic translation initiation factor 3 subunit L,13005.016024491824,-1.9613572234419054,0.03955167640238197,-49.589736816409236,0,0,5984,5602,5341,31448,21956
ENSG00000100342,APOL1,8542,apolipoprotein L1,13541.92742117003,7.351050288985766,0.0920226286841954,79.88307217579283,0,0,21279,21212,20562,174,138
ENSG00000101057,MYBL2,4605,MYB proto-oncogene like 2,5162.197185290313,-2.146697602567917,0.05274418657234258,-40.70017459883586,0,0,2070,2016,2021,12610,9239
